construction_code,construction_name,category,layer_order,material_name,thickness_override_m,notes
D_MAIN_STEEL_0474,D_MAIN_STEEL_0474,Door,1,STEEL_SHEET_0012,0.0012,Layer 1/3 - Tấm thép ngoài 1.2 mm
D_MAIN_STEEL_0474,D_MAIN_STEEL_0474,Door,2,FIRE_DOOR_CORE_045,0.045,Layer 2/3 - Lõi cửa cách nhiệt/chống cháy proxy 45 mm
D_MAIN_STEEL_0474,D_MAIN_STEEL_0474,Door,3,STEEL_SHEET_0012,0.0012,Layer 3/3 - Tấm thép trong 1.2 mm
D_BEDROOM_MDF_035,D_BEDROOM_MDF_035,Door,1,MDF_HDF_DOOR_LEAF_035,0.035,Layer 1/1 - Cửa gỗ công nghiệp MDF/HDF 35 mm
D_WC_UPVC_024,D_WC_UPVC_024,Door,1,UPVC_DOOR_PANEL_024,0.024,Layer 1/1 - Cửa nhựa/uPVC đại diện cho WC
IBST_W250_PL15_BR110_BR110_PL15,IBST_W250_PL15_BR110_BR110_PL15,,1,IBST_CEMENT_MORTAR_15_.015,0.015,
IBST_W250_PL15_BR110_BR110_PL15,IBST_W250_PL15_BR110_BR110_PL15,,2,IBST_BRICK_CLAY_110_.11,0.11,
IBST_W250_PL15_BR110_BR110_PL15,IBST_W250_PL15_BR110_BR110_PL15,,3,IBST_BRICK_CLAY_110_.11,0.11,
IBST_W250_PL15_BR110_BR110_PL15,IBST_W250_PL15_BR110_BR110_PL15,,4,IBST_CEMENT_MORTAR_15_.015,0.015,
IBST_W140_PL15_BR110_PL15,IBST_W140_PL15_BR110_PL15,,1,IBST_CEMENT_MORTAR_15_.015,0.015,
IBST_W140_PL15_BR110_PL15,IBST_W140_PL15_BR110_PL15,,2,IBST_BRICK_CLAY_110_.11,0.11,
IBST_W140_PL15_BR110_PL15,IBST_W140_PL15_BR110_PL15,,3,IBST_CEMENT_MORTAR_15_.015,0.015,
IBST_W180_PL15_BR150_PL15,IBST_W180_PL15_BR150_PL15,,1,IBST_CEMENT_MORTAR_15_.015,0.015,
IBST_W180_PL15_BR150_PL15,IBST_W180_PL15_BR150_PL15,,2,IBST_BRICK_CLAY_150_.15,0.15,
IBST_W180_PL15_BR150_PL15,IBST_W180_PL15_BR150_PL15,,3,IBST_CEMENT_MORTAR_15_.015,0.015,
