object_type,object_count_in_reference,field_order,field_name,sample_value
WindowProperty:FrameAndDivider,1,1,frame_divider_name,1
WindowProperty:FrameAndDivider,1,2,frame_width_m,0.04
WindowProperty:FrameAndDivider,1,3,frame_outside_projection_m,0.0
WindowProperty:FrameAndDivider,1,4,frame_inside_projection_m,0.0
WindowProperty:FrameAndDivider,1,5,frame_conductance_w_per_m2k,9.5
WindowProperty:FrameAndDivider,1,6,frame_edge_to_center_glass_conductance_ratio,1.0
WindowProperty:FrameAndDivider,1,7,frame_solar_absorptance,0.5
WindowProperty:FrameAndDivider,1,8,frame_visible_absorptance,0.5
WindowProperty:FrameAndDivider,1,9,frame_thermal_emissivity,0.9
WindowProperty:FrameAndDivider,1,10,divider_type,DividedLite
WindowProperty:FrameAndDivider,1,11,divider_width_m,0.020
WindowProperty:FrameAndDivider,1,12,number_horizontal_dividers,1
WindowProperty:FrameAndDivider,1,13,number_vertical_dividers,1
WindowProperty:FrameAndDivider,1,14,divider_outside_projection_m,0.0
WindowProperty:FrameAndDivider,1,15,divider_inside_projection_m,0.0
WindowProperty:FrameAndDivider,1,16,divider_conductance_w_per_m2k,9.5
WindowProperty:FrameAndDivider,1,17,divider_edge_to_center_glass_conductance_ratio,1.0
WindowProperty:FrameAndDivider,1,18,divider_solar_absorptance,0.5
WindowProperty:FrameAndDivider,1,19,divider_visible_absorptance,0.5
WindowProperty:FrameAndDivider,1,20,divider_thermal_emissivity,0.9
WindowProperty:FrameAndDivider,1,21,outside_reveal_solar_absorptance,0.5
WindowProperty:FrameAndDivider,1,22,inside_sill_depth_m,0.0
WindowProperty:FrameAndDivider,1,23,inside_sill_solar_absorptance,0.5
WindowProperty:FrameAndDivider,1,24,inside_reveal_depth_m,0.0
WindowProperty:FrameAndDivider,1,25,inside_reveal_solar_absorptance,0.5
