fenestration_name,surface_type,construction_name,building_surface_name,outside_boundary_condition_object,view_factor_to_ground,frame_and_divider_name,multiplier,number_of_vertices,v1_x,v1_y,v1_z,v2_x,v2_y,v2_z,v3_x,v3_y,v3_z,v4_x,v4_y,v4_z
APARTMENT_A_NEW_OPENING_001_WINDOW,Window,C_G_WINDOW_TEMP_008,WC01_WALL_04,,,1,1,4,0.000,4.770,1.640,0.000,4.250,1.640,0.000,4.250,2.160,0.000,4.770,2.160
APARTMENT_A_NEW_OPENING_002_WINDOW,Window,C_G_WINDOW_TEMP_008,PN02_WALL_04,,,1,1,4,0.000,2.600,1.440,0.000,1.280,1.440,0.000,1.280,2.595,0.000,2.600,2.595
APARTMENT_A_NEW_OPENING_003_DOOR,Door,D_BEDROOM_MDF_035,PKPB_WALL_03,APARTMENT_A_NEW_OPENING_003_DOOR_ADJ,,,1,4,3.745,4.890,0.000,2.895,4.890,0.000,2.895,4.890,2.200,3.745,4.890,2.200
APARTMENT_A_NEW_OPENING_003_DOOR_ADJ,Door,D_BEDROOM_MDF_035,PN01_WALL_03,APARTMENT_A_NEW_OPENING_003_DOOR,,,1,4,2.895,4.890,0.000,3.745,4.890,0.000,3.745,4.890,2.200,2.895,4.890,2.200
APARTMENT_A_NEW_OPENING_004_DOOR,Door,D_BEDROOM_MDF_035,PKPB_WALL_05,APARTMENT_A_NEW_OPENING_004_DOOR_ADJ,,,1,4,2.895,3.330,0.000,3.745,3.330,0.000,3.745,3.330,2.200,2.895,3.330,2.200
APARTMENT_A_NEW_OPENING_004_DOOR_ADJ,Door,D_BEDROOM_MDF_035,PN02_WALL_01,APARTMENT_A_NEW_OPENING_004_DOOR,,,1,4,3.745,3.330,0.000,2.895,3.330,0.000,2.895,3.330,2.200,3.745,3.330,2.200
APARTMENT_A_NEW_OPENING_005_DOOR,Door,D_WC_UPVC_024,WC02_WALL_01,APARTMENT_A_NEW_OPENING_005_DOOR_ADJ,,,1,4,5.310,1.890,0.000,5.310,1.140,0.000,5.310,1.140,2.200,5.310,1.890,2.200
APARTMENT_A_NEW_OPENING_005_DOOR_ADJ,Door,D_WC_UPVC_024,PKPB_WALL_07,APARTMENT_A_NEW_OPENING_005_DOOR,,,1,4,5.310,1.140,0.000,5.310,1.890,0.000,5.310,1.890,2.200,5.310,1.140,2.200
APARTMENT_A_NEW_OPENING_006_WINDOW,Window,C_G_WINDOW_TEMP_008,PN01_WALL_05,,,1,1,4,2.685,8.340,1.440,1.365,8.340,1.440,1.365,8.340,2.595,2.685,8.340,2.595
APARTMENT_A_NEW_OPENING_007_GLASSDOOR,GlassDoor,C_G_LOGIA_TEMP_010,LOGIA_WALL_01,APARTMENT_A_NEW_OPENING_007_GLASSDOOR_ADJ,,1,1,4,4.330,7.215,0.040,6.250,7.215,0.040,6.250,7.215,2.160,4.330,7.215,2.160
APARTMENT_A_NEW_OPENING_007_GLASSDOOR_ADJ,GlassDoor,C_G_LOGIA_TEMP_010,PKPB_WALL_01,APARTMENT_A_NEW_OPENING_007_GLASSDOOR,,1,1,4,6.250,7.215,0.040,4.330,7.215,0.040,4.330,7.215,2.160,6.250,7.215,2.160
APARTMENT_A_NEW_OPENING_008_HOLE_AS_WINDOW,Window,Perfectly Clear - 1002,LOGIA_WALL_04,,,,1,4,7.087,8.340,0.150,4.087,8.340,0.150,4.087,8.340,3.300,7.087,8.340,3.300
APARTMENT_A_NEW_OPENING_009_DOOR,Door,D_WC_UPVC_024,WC01_WALL_02,APARTMENT_A_NEW_OPENING_009_DOOR_ADJ,,,1,4,2.610,4.890,0.000,1.860,4.890,0.000,1.860,4.890,2.200,2.610,4.890,2.200
APARTMENT_A_NEW_OPENING_009_DOOR_ADJ,Door,D_WC_UPVC_024,PN01_WALL_04,APARTMENT_A_NEW_OPENING_009_DOOR,,,1,4,1.860,4.890,0.000,2.610,4.890,0.000,2.610,4.890,2.200,1.860,4.890,2.200
APARTMENT_A_NEW_OPENING_010_DOOR,Door,D_MAIN_STEEL_0474,PKPB_WALL_09,,,,1,4,4.190,0.000,0.000,5.190,0.000,0.000,5.190,0.000,2.200,4.190,0.000,2.200
