physical_wall_id,boundary_condition,wall_family,wall_type_name,total_thickness_mm,finish_each_side_mm,finish_total_mm,core_thickness_mm,surface_name_primary,surface_name_secondary,zone_name_primary,zone_name_secondary,adjacent_zone_name_primary,adjacent_zone_name_secondary,construction_name_primary,construction_name_secondary,thickness_inference_source_primary,thickness_inference_source_secondary,length_m,height_m,axis,side_primary,side_secondary,orientation_deg,orientation_cardinal,start_x_m,start_y_m,end_x_m,end_y_m,midpoint_x_m,midpoint_y_m,position_basis,segment_wkt
WALL_001,Surface,Exterior,DXF Wall 250mm Total,250,15,30,220,LOGIA_WALL_01,PKPB_WALL_01,LOGIA,PKPB,PKPB,LOGIA,IBST_W250_PL15_BR110_BR110_PL15,IBST_W250_PL15_BR110_BR110_PL15_Rev,layer_canonical,layer_canonical,3.345,3.3,horizontal,south,north,0.0,East-West,3.87,7.215,7.215,7.215,5.543,7.215,wall_resolution:shared_zone_boundary_centerline,"LINESTRING (3.870 7.215, 7.215 7.215)"
WALL_002,Surface,Exterior,DXF Wall 250mm Total,250,15,30,220,LOGIA_WALL_02,PN01_WALL_01,LOGIA,PN01,PN01,LOGIA,IBST_W250_PL15_BR110_BR110_PL15,IBST_W250_PL15_BR110_BR110_PL15_Rev,layer_canonical,layer_canonical,1.125,3.3,vertical,west,east,90.0,North-South,3.87,7.215,3.87,8.34,3.87,7.778,wall_resolution:shared_zone_boundary_centerline,"LINESTRING (3.870 7.215, 3.870 8.340)"
WALL_003,Adiabatic,Adiabatic,DXF Wall 180mm Total,180,15,30,150,LOGIA_WALL_03,,LOGIA,,,,IBST_W180_PL15_BR150_PL15,,layer_fuzzy,,1.125,3.3,vertical,east,,90.0,North-South,7.215,7.215,7.215,8.34,7.215,7.778,wall_resolution:zone_boundary_inside_face,"LINESTRING (7.215 7.215, 7.215 8.340)"
WALL_004,Outdoors,Exterior,DXF Wall 250mm Total,250,15,30,220,LOGIA_WALL_04,,LOGIA,,,,IBST_W250_PL15_BR110_BR110_PL15,,layer_canonical_collinear_resolved,,3.345,3.3,horizontal,north,,0.0,East-West,3.87,8.34,7.215,8.34,5.543,8.34,wall_resolution:zone_boundary_outer_face,"LINESTRING (3.870 8.340, 7.215 8.340)"
WALL_005,Surface,Partition,DXF Wall 140mm Total,140,15,30,110,PKPB_WALL_02,PN01_WALL_02,PKPB,PN01,PN01,PKPB,IBST_W140_PL15_BR110_PL15,IBST_W140_PL15_BR110_PL15_Rev,layer_canonical,layer_canonical,2.325,3.3,vertical,west,east,90.0,North-South,3.87,4.89,3.87,7.215,3.87,6.053,wall_resolution:shared_zone_boundary_centerline,"LINESTRING (3.870 4.890, 3.870 7.215)"
WALL_006,Surface,Partition,DXF Wall 140mm Total,140,15,30,110,PKPB_WALL_03,PN01_WALL_03,PKPB,PN01,PN01,PKPB,IBST_W140_PL15_BR110_PL15,IBST_W140_PL15_BR110_PL15_Rev,layer_canonical,layer_canonical,1.13,3.3,horizontal,north,south,0.0,East-West,2.74,4.89,3.87,4.89,3.305,4.89,wall_resolution:shared_zone_boundary_centerline,"LINESTRING (2.740 4.890, 3.870 4.890)"
WALL_007,Surface,Partition,DXF Wall 140mm Total,140,15,30,110,PKPB_WALL_04,WC01_WALL_01,PKPB,WC01,WC01,PKPB,IBST_W140_PL15_BR110_PL15,IBST_W140_PL15_BR110_PL15_Rev,layer_canonical,layer_canonical,1.56,3.3,vertical,west,east,90.0,North-South,2.74,3.33,2.74,4.89,2.74,4.11,wall_resolution:shared_zone_boundary_centerline,"LINESTRING (2.740 3.330, 2.740 4.890)"
WALL_008,Surface,Partition,DXF Wall 140mm Total,140,15,30,110,PKPB_WALL_05,PN02_WALL_01,PKPB,PN02,PN02,PKPB,IBST_W140_PL15_BR110_PL15,IBST_W140_PL15_BR110_PL15_Rev,layer_canonical,layer_canonical,1.13,3.3,horizontal,south,north,0.0,East-West,2.74,3.33,3.87,3.33,3.305,3.33,wall_resolution:shared_zone_boundary_centerline,"LINESTRING (2.740 3.330, 3.870 3.330)"
WALL_009,Surface,Partition,DXF Wall 140mm Total,140,15,30,110,PKPB_WALL_06,PN02_WALL_02,PKPB,PN02,PN02,PKPB,IBST_W140_PL15_BR110_PL15,IBST_W140_PL15_BR110_PL15_Rev,layer_canonical,layer_canonical,3.33,3.3,vertical,west,east,90.0,North-South,3.87,0.0,3.87,3.33,3.87,1.665,wall_resolution:shared_zone_boundary_centerline,"LINESTRING (3.870 0.000, 3.870 3.330)"
WALL_010,Surface,Partition,DXF Wall 140mm Total,140,15,30,110,PKPB_WALL_07,WC02_WALL_01,PKPB,WC02,WC02,PKPB,IBST_W140_PL15_BR110_PL15,IBST_W140_PL15_BR110_PL15_Rev,layer_canonical,layer_canonical,2.02,3.3,vertical,east,west,90.0,North-South,5.31,0.0,5.31,2.02,5.31,1.01,wall_resolution:shared_zone_boundary_centerline,"LINESTRING (5.310 0.000, 5.310 2.020)"
