thickness_mm,boundary_condition,x1_m,y1_m,x2_m,y2_m,surface_names
180,Adiabatic,0.0,0.0,0.0,0.0,PN02_WALL_05
180,Outdoors,3.87,0.0,3.87,0.0,PKPB_WALL_09
180,Adiabatic,5.31,0.0,5.31,0.0,WC02_WALL_03
140,Surface,5.31,0.0,5.31,0.0,PKPB_WALL_07; WC02_WALL_01
180,Adiabatic,7.215,0.0,7.215,0.0,WC02_WALL_04
140,Surface,5.31,2.02,5.31,2.02,PKPB_WALL_08; WC02_WALL_02
180,Adiabatic,7.215,2.02,7.215,2.02,PKPB_WALL_10
250,Outdoors,0.0,3.33,0.0,3.33,PN02_WALL_04
140,Surface,2.74,3.33,2.74,3.33,PKPB_WALL_05; PN02_WALL_01
140,Surface,2.74,3.33,2.74,3.33,PN02_WALL_03; WC01_WALL_03
140,Surface,3.87,3.33,3.87,3.33,PKPB_WALL_06; PN02_WALL_02
250,Outdoors,0.0,4.89,0.0,4.89,WC01_WALL_04
140,Surface,0.0,4.89,0.0,4.89,PN01_WALL_04; WC01_WALL_02
140,Surface,2.74,4.89,2.74,4.89,PKPB_WALL_04; WC01_WALL_01
140,Surface,3.87,4.89,3.87,4.89,PKPB_WALL_03; PN01_WALL_03
250,Surface,3.87,7.215,3.87,7.215,LOGIA_WALL_01; PKPB_WALL_01
140,Surface,3.87,7.215,3.87,7.215,PKPB_WALL_02; PN01_WALL_02
180,Adiabatic,7.215,7.215,7.215,7.215,LOGIA_WALL_03
250,Outdoors,0.0,8.34,0.0,8.34,PN01_WALL_06
250,Outdoors,3.87,8.34,3.87,8.34,PN01_WALL_05
250,Surface,3.87,8.34,3.87,8.34,LOGIA_WALL_02; PN01_WALL_01
250,Outdoors,7.215,8.34,7.215,8.34,LOGIA_WALL_04
