surface_key,surface_label,context,is_candidate,matches_manifest_target,target_surface_name,target_zone_name,mapped_zone_name,target_area_m2,surface_area_m2,area_delta_m2,match_reason,match_status,in_idf_surface_name,in_idf_zone_name,in_idf_construction_name,in_idf_boundary_condition,in_idf_area_m2,in_idf_area_delta_m2,in_idf_match_status,adjacency_condition,is_internal_partition,internal_partition_type,surface_type,hard_attributes,title,ssep_object_name,ssep_object_idc,gbxml_surface_type,match_keys
surface_1,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPNX0,no,no,,,APARTMENT_A_NEW_PN_01,,13.352,,,,,,,,,,,AdjacentToGround,False,-1,Floor,Title;WindAngle315;AnyOpeningOutput;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;gbXMLExternalConstructionName;SSEPObjectIDCInOP;SSEPObjectNameInOP;CombinedGroundFloorConstr;WindAngle180;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,Ground floor - 13.352 m2 (Ground),BLOCK1:APARTMENTXAXNEWXPNX0_GroundFloor_0_0_0,1,Floor,UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0;UNKNOWN;UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0_GroundFloor_0_0_0
surface_2,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPNX0,no,no,,,APARTMENT_A_NEW_PN_01,,13.352,,,,,,,,,,,NotAdjacentToGround,False,-1,FlatRoof,Title;WindAngle315;AnyOpeningOutput;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;gbXMLExternalConstructionName;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;SSEPObjectAreaInOP;CombinedFlatRoofConstr;WindAngle45;WindAngle0;WindAngle270,Roof - 13.352 m2,BLOCK1:APARTMENTXAXNEWXPNX0_Roof_1_0_0,3,Roof,UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0;UNKNOWN;UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0_Roof_1_0_0
surface_3,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPNX0,yes,no,,,APARTMENT_A_NEW_PN_01,,3.713,,,,,,,,,,,NotAdjacentToGround,True,Solid,Wall,Title;WindAngle315;AnyOpeningOutput;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;InternalWallConstr;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;gbXMLInternalConstructionName;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,"Partition - 3.713 m2 (Block 1, APARTMENT_A_NEW_LOGIA)",BLOCK1:APARTMENTXAXNEWXPNX0_Partition_2_0_0,5,Wall,UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0;UNKNOWN;UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0_Partition_2_0_0
surface_4,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPNX0,yes,no,,,APARTMENT_A_NEW_PN_01,,12.771,,,,,,,,,,,NotAdjacentToGround,False,-1,Wall,WallConstr;Title;WindAngle315;AnyOpeningOutput;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;gbXMLExternalConstructionName;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,Wall - 12.771 m2 - 0.0°,BLOCK1:APARTMENTXAXNEWXPNX0_Wall_3_0_0,5,Wall,UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0;UNKNOWN;UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0_Wall_3_0_0
surface_5,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPNX0,yes,no,,,APARTMENT_A_NEW_PN_01,,11.385,,,,,,,,,,,NotAdjacentToGround,False,-1,Wall,WallConstr;Title;WindAngle315;AnyOpeningOutput;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;gbXMLExternalConstructionName;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,Wall - 11.385 m2 - 270.0°,BLOCK1:APARTMENTXAXNEWXPNX0_Wall_4_0_0,5,Wall,UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0;UNKNOWN;UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0_Wall_4_0_0
surface_6,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPNX0,yes,no,,,APARTMENT_A_NEW_PN_01,,9.042,,,,,,,,,,,NotAdjacentToGround,True,Solid,Wall,Title;WindAngle315;AnyOpeningOutput;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;InternalWallConstr;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;gbXMLInternalConstructionName;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,"Partition - 9.042 m2 (Block 1, APARTMENT_A_NEW_WC_01)",BLOCK1:APARTMENTXAXNEWXPNX0_Partition_5_0_0,7,Wall,UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0;UNKNOWN;UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0_Partition_5_0_0
surface_7,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPNX0,yes,no,,,APARTMENT_A_NEW_PN_01,,3.729,,,,,,,,,,,NotAdjacentToGround,True,Solid,Wall,Title;WindAngle315;AnyOpeningOutput;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;InternalWallConstr;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;gbXMLInternalConstructionName;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,"Partition - 3.729 m2 (Block 1, APARTMENT_A_NEW_PK_PB)",BLOCK1:APARTMENTXAXNEWXPNX0_Partition_6_0_0,7,Wall,UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0;UNKNOWN;UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0_Partition_6_0_0
surface_8,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPNX0,yes,no,,,APARTMENT_A_NEW_PN_01,,7.673,,,,,,,,,,,NotAdjacentToGround,True,Solid,Wall,Title;WindAngle315;AnyOpeningOutput;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;InternalWallConstr;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;gbXMLInternalConstructionName;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,"Partition - 7.673 m2 (Block 1, APARTMENT_A_NEW_PK_PB)",BLOCK1:APARTMENTXAXNEWXPNX0_Partition_7_0_0,7,Wall,UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0;UNKNOWN;UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0_Partition_7_0_0
surface_9,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXLOGI,no,no,,,APARTMENT_A_NEW_LOGIA,,3.763,,,,,,,,,,,AdjacentToGround,False,-1,Floor,Title;WindAngle315;AnyOpeningOutput;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;gbXMLExternalConstructionName;SSEPObjectIDCInOP;SSEPObjectNameInOP;CombinedGroundFloorConstr;WindAngle180;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,Ground floor - 3.763 m2 (Ground),BLOCK1:APARTMENTXAXNEWXLOGI_GroundFloor_0_0_0,1,Floor,UNKNOWN;BLOCK1:APARTMENTXAXNEWXLOGI;UNKNOWN;UNKNOWN;BLOCK1:APARTMENTXAXNEWXLOGI_GroundFloor_0_0_0
surface_10,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXLOGI,no,no,,,APARTMENT_A_NEW_LOGIA,,3.763,,,,,,,,,,,NotAdjacentToGround,False,-1,FlatRoof,Title;WindAngle315;AnyOpeningOutput;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;gbXMLExternalConstructionName;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;SSEPObjectAreaInOP;CombinedFlatRoofConstr;WindAngle45;WindAngle0;WindAngle270,Roof - 3.763 m2,BLOCK1:APARTMENTXAXNEWXLOGI_Roof_1_0_0,3,Roof,UNKNOWN;BLOCK1:APARTMENTXAXNEWXLOGI;UNKNOWN;UNKNOWN;BLOCK1:APARTMENTXAXNEWXLOGI_Roof_1_0_0
